kind,id,where,status,note
tool,add_safe_sender,packages/server/src/agent/tools.ts:2637,built,
tool,applescript_run,packages/server/src/agent/tools.ts:2998,built,
tool,apply_update,packages/server/src/agent/tools.ts:3557,built,
tool,approve_destructive_action,packages/server/src/agent/tools.ts:1099,built,
tool,assign_to_group,packages/server/src/agent/tools.ts:2507,built,
tool,broadcast_to_group,packages/server/src/agent/tools.ts:1730,built,
tool,calendar_accept_share_ms,packages/server/src/microsoft/tools-write.ts:256,built,
tool,calendar_agenda,packages/server/src/google/tools-read.ts:93,built,
tool,calendar_agenda_ms,packages/server/src/microsoft/tools-read.ts:59,built,
tool,calendar_create,packages/server/src/google/tools-write.ts:129,built,
tool,calendar_create_ms,packages/server/src/microsoft/tools-write.ts:70,built,
tool,calendar_delete,packages/server/src/google/tools-write.ts:172,built,
tool,calendar_delete_ms,packages/server/src/microsoft/tools-write.ts:107,built,
tool,calendar_freebusy,packages/server/src/google/tools-read.ts:219,built,
tool,calendar_freebusy_ms,packages/server/src/microsoft/tools-read.ts:372,built,
tool,calendar_list,packages/server/src/google/tools-read.ts:126,built,
tool,calendar_list_ms,packages/server/src/microsoft/tools-read.ts:92,built,
tool,calendar_respond_invite,packages/server/src/google/tools-write.ts:184,built,
tool,calendar_respond_invite_ms,packages/server/src/microsoft/tools-write.ts:243,built,
tool,calendar_search,packages/server/src/google/tools-read.ts:109,built,
tool,calendar_search_ms,packages/server/src/microsoft/tools-read.ts:75,built,
tool,calendar_share_invites_ms,packages/server/src/microsoft/tools-read.ts:103,built,
tool,calendar_subscribe,packages/server/src/google/tools-write.ts:199,built,
tool,calendar_unsubscribe,packages/server/src/google/tools-write.ts:210,built,
tool,calendar_update,packages/server/src/google/tools-write.ts:153,built,
tool,calendar_update_ms,packages/server/src/microsoft/tools-write.ts:89,built,
tool,canvas_read,packages/server/src/agent/tools.ts:1546,built,
tool,canvas_render,packages/server/src/agent/tools.ts:1482,built,
tool,channel_inspect,packages/server/src/agent/tools.ts:3484,built,
tool,check_for_update,packages/server/src/agent/tools.ts:3550,built,
tool,complete_task,packages/server/src/agent/tools.ts:1753,built,
tool,contact_forget,packages/server/src/agent/tools.ts:3423,built,
tool,contact_get,packages/server/src/agent/tools.ts:3391,built,
tool,contact_list,packages/server/src/agent/tools.ts:3378,built,
tool,contact_remember,packages/server/src/agent/tools.ts:3346,built,
tool,contact_search,packages/server/src/agent/tools.ts:3366,built,
